name,company,workarea,salary,requirements,company_type,company_size
数据分析及应用支撑（塔城分公司）,中国电信新疆公司,塔城,,['本科'],国企,
数据分析,前锦网络信息技术（上海）有限公司,武汉,,['本科'],外资（非欧美）,
数据分析工程师（应届生）,交通银行股份有限公司太平洋信用卡中心,上海,,['本科'],国企,150-500人
数据分析师,深圳市腾讯计算机系统有限公司,北京,1-1.5万/月,"['在校生/应届生', '本科']",上市公司,
004数据分析师（风控建模）,中科征信（贵州）有限公司,贵阳,,['本科'],民营公司,
数据分析岗,深圳市宝能投资集团有限公司,深圳,,['本科'],上市公司,
数据分析师,长城汽车股份有限公司,保定,,['本科'],国企,
交通数据分析师,苏州规划设计研究院股份有限公司,苏州,,['硕士'],民营公司,
数据分析岗（客服）,客户服务部,北京,,['本科'],国企,
大数据分析师,中国联合网络通信有限公司广东省分公司,广州,,['本科'],国企,
数据分析支撑,联通佛山市分公司,佛山,,['本科'],国企,
助理交通数据分析师（上海）,苏州市相城区人力资源和社会保障局,上海,,['硕士'],国企,500-1000人
数据分析支撑,联通河源市分公司,河源,,['本科'],国企,
数据分析支撑岗,联通茂名市分公司,茂名,,['本科'],国企,
大数据分析,联通江门市分公司,江门,,['本科'],国企,
数据分析支撑,联通阳江市分公司,阳江,,['本科'],国企,
数据分析师,联通深圳市分公司,深圳,,['本科'],国企,
【商业】-数据分析岗,华润置地商业地产事业部-商业华中大区,武汉,,['硕士'],国企,
【商业】-数据分析岗,华润置地商业地产事业部-商业华西大区,重庆,,['硕士'],国企,
数据分析支撑,中国联合网络通信有限公司湖南省分公司,娄底,,['本科'],国企,
-数据分析专员（实习生）,北京布朗兄弟科贸有限公司,上海,,['本科'],民营公司,
电商数据分析,艾可爱尔（中国）销售服务有限公司,北京,,"['2年经验', '本科']",民营公司,
数据分析,中邮信息科技（北京）有限公司,北京,,['硕士'],民营公司,
Java开发工程师（数据分析方向）,北京华热科技发展有限公司,北京,,['硕士'],民营公司,
数据分析师,中信百信银行股份有限公司,北京,,['本科'],民营公司,
数据分析员,中国铁道科学研究院集团有限公司铁道建筑研究所下属企业,北京,6-8千/月,"['1年经验', '本科']",民营公司,
大数据分析与采集,中国联合网络通信有限公司广西壮族自治区分公司,玉林,,['本科'],国企,
第一财经新一线商业数据分析师,上海文化广播影视集团有限公司,上海,,['本科'],国企,
数据分析管培生,上海来伊份股份有限公司,上海,,['本科'],民营公司,
数据分析员,深圳市海吉星国际农产品物流管理有限公司,深圳,,['本科'],民营公司,
IT与数据分析（浙江）,银泰商业管理有限公司,浙江省,4.5-6千/月,"['在校生/应届生', '本科']",国企,
数据分析工程师,博世中国校园招聘,常州,,['本科'],外资（非欧美）,
